company_code,vendor_id,invoice_document,fiscal_year,line_item,invoice_date,due_date,payment_terms,currency,amount,reference,line_item_text,vendor_country,priority,refundability_required,preferred_rail,allow_fallback,rtp_available,batch_id
1000,0000001001,5200005472,2025,003,2025-07-15,2025-08-29,0002,USD,7157.95,PO45532450,Ocean Freight,US,low,yes,auto,yes,yes,BATCH-C200
1000,0000002001,5200005473,2025,002,2025-05-01,2025-05-31,0001,CAD,10272.23,PO45227581,Drayage & Fuel,CA,low,no,ach,yes,no,BATCH-C200
2000,0000007001,5200005474,2025,001,2025-06-27,2025-08-11,0002,JPY,13845.91,PO45483646,Customs Brokerage,JP,low,no,card,yes,no,BATCH-C200
3000,0000003002,5200005475,2025,002,2025-07-25,2025-08-24,N030,MXN,13707.14,PO45155218,Linehaul,MX,low,no,auto,yes,no,BATCH-C200
3000,0000004002,5200005476,2025,001,2025-06-19,2025-07-19,N030,EUR,4721.8,PO45729270,Customs Brokerage,DE,low,no,rtp,yes,no,BATCH-C200
2000,0000004001,5200005477,2025,002,2025-07-26,2025-09-09,0002,EUR,2216.35,PO45936093,Drayage & Fuel,DE,low,yes,ach_same_day,yes,no,BATCH-C200
2000,0000002002,5200005478,2025,002,2025-06-04,2025-08-03,Z060,CAD,5041.59,PO45393503,Linehaul,CA,low,no,wire,no,no,BATCH-C200
1000,0000004001,5200005479,2025,003,2025-06-24,2025-08-08,0002,EUR,5681.32,PO45818087,Palletization,DE,low,yes,wire,yes,no,BATCH-C200
2000,0000004001,5200005480,2025,002,2025-06-24,2025-08-08,0002,EUR,8820.31,PO45955623,Linehaul,DE,low,no,ach_same_day,yes,no,BATCH-C200
2000,0000006002,5200005481,2025,003,2025-07-27,2025-09-10,N045,CNY,5235.46,PO45189195,Ocean Freight,CN,low,yes,wire,no,no,BATCH-C200
1000,0000006001,5200005482,2025,001,2025-06-09,2025-08-08,Z060,CNY,910.53,PO45514707,Expedited Air Freight,CN,low,no,card,yes,no,BATCH-C200
3000,0000005001,5200005483,2025,002,2025-07-09,2025-08-08,0001,GBP,8065.47,PO45472354,Drayage & Fuel,GB,low,no,ach,no,no,BATCH-C200
3000,0000002001,5200005484,2025,003,2025-05-26,2025-07-10,0002,CAD,3229.77,PO45196666,Customs Brokerage,CA,low,no,card,no,no,BATCH-C200
3000,0000004001,5200005485,2025,003,2025-05-20,2025-07-04,0002,EUR,716.69,PO45617229,Container Handling,DE,low,yes,auto,no,no,BATCH-C200
1000,0000002001,5200005486,2025,002,2025-06-05,2025-08-04,Z060,CAD,9126.69,PO45198655,Linehaul,CA,low,no,ach,no,no,BATCH-C200
2000,0000007001,5200005487,2025,002,2025-05-13,2025-06-27,N045,JPY,11520.37,PO45958606,Port Fees,JP,low,no,ach,no,no,BATCH-C200
2000,0000001004,5200005488,2025,002,2025-05-11,2025-06-10,0001,USD,812.41,PO45684455,Container Handling,US,low,yes,card,no,yes,BATCH-C200
1000,0000006002,5200005489,2025,002,2025-05-16,2025-06-15,0001,CNY,3895.05,PO45691896,Last-Mile Delivery,CN,low,yes,card,yes,no,BATCH-C200
1000,0000003001,5200005490,2025,002,2025-05-31,2025-07-15,0002,MXN,2623.25,PO45368290,Container Handling,MX,low,no,auto,yes,no,BATCH-C200
2000,0000006001,5200005491,2025,003,2025-07-22,2025-09-05,N045,CNY,883.73,PO45251831,Container Handling,CN,low,no,auto,yes,no,BATCH-C200
3000,0000004001,5200005492,2025,003,2025-05-14,2025-06-28,N045,EUR,4892.58,PO45369495,Palletization,DE,low,yes,auto,no,no,BATCH-C200
2000,0000001003,5200005493,2025,001,2025-07-26,2025-08-25,0001,USD,7045.08,PO45304581,Linehaul,US,low,no,ach,yes,yes,BATCH-C200
3000,0000006002,5200005494,2025,003,2025-05-18,2025-07-02,N045,CNY,14371.41,PO45503784,Linehaul,CN,low,yes,card,yes,no,BATCH-C200
2000,0000002001,5200005495,2025,002,2025-05-15,2025-06-14,N030,CAD,2184.38,PO45332417,Linehaul,CA,low,no,ach,no,no,BATCH-C200
2000,0000005001,5200005496,2025,002,2025-06-01,2025-07-16,0002,GBP,430.03,PO45698726,Warehouse Storage,GB,low,no,ach_same_day,yes,no,BATCH-C200
2000,0000006001,5200005497,2025,001,2025-05-20,2025-07-19,Z060,CNY,899.95,PO45925863,Last-Mile Delivery,CN,low,no,wire,no,no,BATCH-C200
1000,0000001005,5200005498,2025,002,2025-06-25,2025-07-25,N030,USD,14971.38,PO45349716,Drayage & Fuel,US,low,yes,rtp,no,yes,BATCH-C200
1000,0000001001,5200005499,2025,002,2025-05-19,2025-06-18,0001,USD,6659.54,PO45632458,Container Handling,US,low,yes,wire,yes,yes,BATCH-C200
1000,0000006001,5200005500,2025,003,2025-06-06,2025-07-21,0002,CNY,5433.48,PO45142517,Palletization,CN,low,no,ach,no,no,BATCH-C200
1000,0000003002,5200005501,2025,003,2025-05-23,2025-07-07,0002,MXN,9029.75,PO45969238,Drayage & Fuel,MX,low,no,wire,no,no,BATCH-C200
1000,0000003002,5200005502,2025,003,2025-06-09,2025-07-24,0002,MXN,200.04,PO45825869,Ocean Freight,MX,low,no,rtp,yes,no,BATCH-C200
2000,0000001005,5200005503,2025,002,2025-05-12,2025-06-11,0001,USD,6172.28,PO45900043,Expedited Air Freight,US,low,no,ach,no,yes,BATCH-C200
1000,0000004001,5200005504,2025,002,2025-05-05,2025-06-19,0002,EUR,10548.75,PO45702847,Port Fees,DE,low,yes,auto,no,no,BATCH-C200
